,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
423,NEB,,,NEB,Nebraska-Kearney,#000000,,,2438,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2438.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2438.png']",Lopers,Nebraska-Kearney
424,UNO,,,UNO,Omaha,#e3193e,,,2437,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2437.png']",Mavericks,Nebraska-Omaha
425,NEV,#8e9295,,NEV,Nevada,#153E5F,Mountain West,West,2440,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2440.png']",Wolf Pack,Nevada
426,NBY,,,NBY,Newberry,#000000,,,2444,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2444.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2444.png']",Wolves,Newberry
427,UNH,#c3c4c6,,UNH,UNH,#004990,,,160,"['http://a.espncdn.com/i/teamlogos/ncaa/500/160.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/160.png']",Wildcats,New Hampshire
428,NH,,,NH,New Haven,#000000,,,2441,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2441.png']",Chargers,New Haven
429,UNM,#231f20,,UNM,New Mexico,#000000,Mountain West,Mountain,167,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']",Lobos,New Mexico
430,NMH,,,NMH,New Mexico Highlands,#000000,,,2424,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2424.png']",Cowboys,New Mexico Highlands
431,NMSU,#000000,,NMSU,New Mexico St,#891216,FBS Independents,,166,"['http://a.espncdn.com/i/teamlogos/ncaa/500/166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/166.png']",Aggies,New Mexico State
432,NICH,#f0f0f0,,NICH,Nicholls,#C41230,,,2447,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2447.png']",Colonels,Nicholls
433,NIC,,,NIC,Nichols,#000000,,,2884,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2884.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2884.png']",Bison,Nichols
434,NSU,,,NSU,Norfolk State,#046546,,,2450,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2450.png']",Spartans,Norfolk State
435,NOR,,,NOR,North Alabama,#000000,,,2453,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2453.png']",Lions,North Alabama
436,UNC,#13294b,,UNC,UNC,#99bfe5,ACC,Coastal,153,"['http://a.espncdn.com/i/teamlogos/ncaa/500/153.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/153.png']",Tar Heels,North Carolina
437,NCAT,#004684,,NCAT,NC A&T,#0505aa,,,2448,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2448.png']",Aggies,North Carolina A&T
438,NCCU,#c2c3c0,,NCCU,NC Central,#880023,,,2428,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2428.png']",Eagles,North Carolina Central
439,NOC,,,NOC,North Central,#000000,,,3071,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3071.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3071.png']",Cardinals,North Central
440,UND,#c2c3c0,,UND,North Dakota,#00A26B,,,155,"['http://a.espncdn.com/i/teamlogos/ncaa/500/155.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/155.png']",Fighting Hawks,North Dakota
441,NDSU,#ffffff,,NDSU,North Dakota St,#01402A,,,2449,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2449.png']",Bison,North Dakota State
442,NEO,,,NEO,NE St,#000000,,,196,"['http://a.espncdn.com/i/teamlogos/ncaa/500/196.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/196.png']",RiverHawks,Northeastern State
443,NAU,#1b3069,,NAU,N Arizona,#003976,,,2464,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2464.png']",Lumberjacks,Northern Arizona
444,UNCO,#ffc533,,UNCO,N Colorado,#13558D,,,2458,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2458.png']",Bears,Northern Colorado
445,NIU,#cc0000,,NIU,N Illinois,#F1122C,Mid-American,West,2459,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png']",Huskies,Northern Illinois
446,UNI,#ffffff,,UNI,Northern Iowa,#473282,,,2460,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2460.png']",Panthers,Northern Iowa
447,NOR,,,NOR,N Michigan,#000000,,,128,"['http://a.espncdn.com/i/teamlogos/ncaa/500/128.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/128.png']",Wildcats,Northern Michigan
448,NOR,,,NOR,Northern St,#000000,,,425,"['http://a.espncdn.com/i/teamlogos/ncaa/500/425.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/425.png']",Wolves,Northern State
449,NGR,,,NGR,N Greenville,#000000,,,2822,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2822.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2822.png']",Crusaders,North Greenville
450,NOR,,,NOR,North Park,#000000,,,75,"['http://a.espncdn.com/i/teamlogos/ncaa/500/75.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/75.png']",Vikings,North Park
451,UNT,#000000,,UNT,North Texas,#00853D,Conference USA,West,249,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']",Mean Green,North Texas
452,NW,#d6cac1,,NW,Northwestern,#372286,Big Ten,West,77,"['http://a.espncdn.com/i/teamlogos/ncaa/500/77.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png']",Wildcats,Northwestern
453,NWM,,,NWM,NW (MN),#000000,,,583,"['http://a.espncdn.com/i/teamlogos/ncaa/500/583.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/583.png']",Eagles,Northwestern (MN)
454,NWO,,,NWO,NW Oklahoma St,#000000,,,2823,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2823.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2823.png']",Rangers,Northwestern Oklahoma State
455,NWST,#ed6118,,NWST,Northwestern St,#492F91,,,2466,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2466.png']",Demons,Northwestern State
456,NWMS,,,NWMS,NW Missouri St,#000000,,,138,"['http://a.espncdn.com/i/teamlogos/ncaa/500/138.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/138.png']",Bearcats,Northwest Missouri State
457,NAR,,,NAR,Northwood,#000000,,,2886,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2886.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2886.png']",Timberwolves,Northwood (MI)
458,NOR,,,NOR,Norwich,#000000,,,2467,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2467.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2467.png']",Cadets,Norwich
459,ND,#ae9142,,ND,Notre Dame,#00122b,FBS Independents,,87,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",Fighting Irish,Notre Dame
460,NOT,,,NOT,Notre Dame College,#000000,,,587,"['http://a.espncdn.com/i/teamlogos/ncaa/500/587.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/587.png']",Blue Falcons,Notre Dame College
461,OBE,,,OBE,Oberlin,#000000,,,391,"['http://a.espncdn.com/i/teamlogos/ncaa/500/391.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/391.png']",Yeomen,Oberlin
462,OCC,,,OCC,Occidental,#000000,,,2475,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2475.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2475.png']",Tigers,Occidental
463,OHIO,#e4bb85,,OHIO,Ohio,#295A29,Mid-American,East,195,"['http://a.espncdn.com/i/teamlogos/ncaa/500/195.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png']",Bobcats,Ohio
464,,,,,Panthers,,,,2477,,Panthers,Ohio Dominican
465,OMW,,,OMW,Ohio Midwestern,,,,108398,,Rams,Ohio Midwestern College
466,ON,,,ON,Ohio Northern,#000000,,,427,"['http://a.espncdn.com/i/teamlogos/ncaa/500/427.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/427.png']",Polar Bears,Ohio Northern
467,OSU,#666666,,OSU,OSU,#DE3121,Big Ten,East,194,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",Buckeyes,Ohio State
468,OSU,,,OSU,Ohio St Newark,#000000,,,3161,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3161.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3161.png']",Titans,Ohio State Newark
469,OHI,,,OHI,Ohio Wesleyan,#000000,,,2980,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2980.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2980.png']",Battling Bishops,Ohio Wesleyan
470,OKLA,#cccccc,,OKLA,Oklahoma,#7b0000,Big 12,,201,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",Sooners,Oklahoma
471,OB,,,OB,Oklahoma Bapt,,,,319,"['http://a.espncdn.com/i/teamlogos/ncaa/500/319.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/319.png']",Bison,Oklahoma Baptist
472,OKST,#ff9900,,OKST,Oklahoma State,#FF6500,Big 12,,197,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",Cowboys,Oklahoma State
473,OKP,,,OKP,OK Panhandle St,#000000,,,2824,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2824.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2824.png']",Aggies,OK Panhandle St
474,ODU,#a1d2f1,,ODU,Old Dominion,#00507d,Conference USA,East,295,"['http://a.espncdn.com/i/teamlogos/ncaa/500/295.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/295.png']",Monarchs,Old Dominion
475,MISS,#00205b,,MISS,Ole Miss,#001148,SEC,West,145,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",Rebels,Ole Miss
476,OLI,,,OLI,Olivet College,#000000,,,354,"['http://a.espncdn.com/i/teamlogos/ncaa/500/354.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/354.png']",Comets,Olivet College
477,ORE,#fee123,,ORE,Oregon,#044520,Pac-12,North,2483,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",Ducks,Oregon
478,ORST,#dea076,,ORST,Oregon State,#c34500,Pac-12,North,204,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Beavers,Oregon State
479,OTT,,,OTT,Otterbein,#000000,,,359,"['http://a.espncdn.com/i/teamlogos/ncaa/500/359.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/359.png']",Cardinals,Otterbein
480,OUA,,,OUA,Ouachita Baptist,#000000,,,2888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2888.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2888.png']",Tigers,Ouachita Baptist
481,PAC,,,PAC,Pace,#000000,,,2487,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2487.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2487.png']",Setters,Pace
482,PAC,,,PAC,Pacific Lutheran,#000000,,,2486,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2486.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2486.png']",Lutes,Pacific Lutheran
483,PAC,,,PAC,Pacific (OR),#000000,,,205,"['http://a.espncdn.com/i/teamlogos/ncaa/500/205.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/205.png']",Boxers,Pacific (OR)
484,PSU,#002e5c,,PSU,Penn State,#00265D,Big Ten,East,213,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",Nittany Lions,Penn State
485,PENN,#a6163d,,PENN,Penn,#082A74,,,219,"['http://a.espncdn.com/i/teamlogos/ncaa/500/219.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/219.png']",Quakers,Pennsylvania
486,PIK,,,PIK,Pikeville,,,,95,"['http://a.espncdn.com/i/teamlogos/ncaa/500/95.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/95.png']",Bears,Pikeville
487,PITT,#231f20,Pitt,PITT,Pitt,#003263,ACC,Coastal,221,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",Panthers,Pittsburgh
488,PIT,,,PIT,Pittsburg St,#000000,,,90,"['http://a.espncdn.com/i/teamlogos/ncaa/500/90.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/90.png']",Gorillas,Pittsburg State
489,PLY,,,PLY,Plymouth St,#000000,,,2972,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2972.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2972.png']",Panthers,Plymouth State
490,POINT,,,POINT,Point University,,,,3179,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3179.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3179.png']",Point,Point University
491,POM,,,POM,Pomona-Pitzer,#000000,,,2923,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2923.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2923.png']",Sagehens,Pomona-Pitzer
492,PRST,#ebebeb,,PRST,Portland State,#00311e,,,2502,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2502.png']",Vikings,Portland State
493,PVAM,,,PVAM,PV A&M,#4d0960,,,2504,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2504.png']",Panthers,Prairie View
494,PRE,#990134,,PRE,Presbyterian,#194896,,,2506,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2506.png']",Blue Hose,Presbyterian College
495,PRE,,,PRE,Presentation ,#000000,,,597,"['http://a.espncdn.com/i/teamlogos/ncaa/500/597.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/597.png']",Saints,Presentation College
496,PRIN,#080808,,PRIN,Princeton,#ff9408,,,163,"['http://a.espncdn.com/i/teamlogos/ncaa/500/163.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/163.png']",Tigers,Princeton
497,PRI,,,PRI,Principia ,#000000,,,363,"['http://a.espncdn.com/i/teamlogos/ncaa/500/363.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/363.png']",Panthers,Principia College
498,PUG,,,PUG,Puget Sound,#000000,,,2508,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2508.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2508.png']",Loggers,Puget Sound
499,PUR,#a4a9ad,,PUR,Purdue,#B89D29,Big Ten,West,2509,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png']",Boilermakers,Purdue
500,QUI,,,QUI,Quincy,#000000,,,2825,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2825.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2825.png']",Hawks,Quincy
501,RAN,,,RAN,Randolph-Macon,#000000,,,2516,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2516.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2516.png']",Yellow Jackets,Randolph-Macon
502,RED,,,RED,Redlands,#000000,,,29,"['http://a.espncdn.com/i/teamlogos/ncaa/500/29.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/29.png']",Bulldogs,Redlands
503,REIN,,,REIN,Reinhardt,,,,2890,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2890.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2890.png']",Eagles,Reinhardt
504,REN,,,REN,Rensselaer,#000000,,,2528,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2528.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2528.png']",Engineers,Rensselaer
505,URI,#5ab3e8,,URI,URI,#3691C6,,,227,"['http://a.espncdn.com/i/teamlogos/ncaa/500/227.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/227.png']",Rams,Rhode Island
506,RHO,,,RHO,Rhodes,#000000,,,2519,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2519.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2519.png']",Lynx,Rhodes
507,RICE,#d1d5d8,,RICE,Rice,#003D7D,Conference USA,West,242,"['http://a.espncdn.com/i/teamlogos/ncaa/500/242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png']",Owls,Rice
508,RICH,#b90b2e,,RICH,Richmond,#9e0712,,,257,"['http://a.espncdn.com/i/teamlogos/ncaa/500/257.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/257.png']",Spiders,Richmond
509,RIPON,,,RIPON,Ripon,#000000,,,2891,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2891.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2891.png']",Redhawks,Ripon
510,RMU,#a21d2b,,RMU,Robert Morris,#00214D,,,2523,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2523.png']",Colonials,Robert Morris
511,RMU,,,RMU,Robert Morris (IL),#000000,,,599,"['http://a.espncdn.com/i/teamlogos/ncaa/500/599.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/599.png']",Eagles,Robert Morris (IL)
512,ROC,,,ROC,Rochester,#000000,,,184,"['http://a.espncdn.com/i/teamlogos/ncaa/500/184.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/184.png']",Yellow Jackets,Rochester
513,ROC,,,ROC,Rockford,#000000,,,2524,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2524.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2524.png']",Regents,Rockford
514,ROS,,,ROS,Rose-Hulman,#000000,,,86,"['http://a.espncdn.com/i/teamlogos/ncaa/500/86.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/86.png']",Engineers,Rose-Hulman
515,ROWAN,,,ROWAN,Rowan,#000000,,,2827,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2827.png']",Professors,Rowan
516,RUTG,#ffffff,,RUTG,Rutgers,#d21034,Big Ten,East,164,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",Scarlet Knights,Rutgers
517,SAC,#cdb97d,,SAC,Sacramento St,#00573C,,,16,"['http://a.espncdn.com/i/teamlogos/ncaa/500/16.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/16.png']",Hornets,Sacramento State
518,SHU,#c29472,,SHU,Sacred Heart,#a40012,,,2529,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2529.png']",Pioneers,Sacred Heart
519,SAG,,,SAG,Saginaw Valley,#000000,,,129,"['http://a.espncdn.com/i/teamlogos/ncaa/500/129.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/129.png']",Cardinals,Saginaw Valley
520,SAL,,,SAL,Salisbury,#000000,,,2532,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2532.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2532.png']",Sea Gulls,Salisbury
521,SAL,,,SAL,Salve Regina,#000000,,,2776,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2776.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2776.png']",Seahawks,Salve Regina
522,SAM,#bc0023,,SAM,Samford,#005485,,,2535,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2535.png']",Bulldogs,Samford
523,SHSU,#f78e1e,,SHSU,Sam Houston,#F78F1E,,,2534,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2534.png']",Bearkats,Sam Houston State
524,USD,#2f99d4,,USD,San Diego,#2f99d4,,,301,"['http://a.espncdn.com/i/teamlogos/ncaa/500/301.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/301.png']",Toreros,San Diego
525,SDSU,#a8996e,,SDSU,San Diego State,#BF2C37,Mountain West,West,21,"['http://a.espncdn.com/i/teamlogos/ncaa/500/21.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png']",Aztecs,San Diego State
526,SJSU,#fdba31,San Jose St.,SJSU,San Jose State,#005893,Mountain West,West,23,"['http://a.espncdn.com/i/teamlogos/ncaa/500/23.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png']",Spartans,San José State
527,SAV,#f78f1e,,SAV,Savannah State,#280298,,,2542,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2542.png']",Tigers,Savannah State
528,SET,,,SET,Seton Hill ,#000000,,,611,"['http://a.espncdn.com/i/teamlogos/ncaa/500/611.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/611.png']",Griffins,Seton Hill College
529,SEW,,Sewanee,SEW,Sewanee University,#000000,,,2553,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2553.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2553.png']",Tigers,Sewanee Univ. of the South
530,SHA,,,SHA,Shaw,#000000,,,2551,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2551.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2551.png']",Bears,Shaw
531,SHE,,,SHE,Shenandoah,#000000,,,2828,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2828.png']",Hornets,Shenandoah
532,SHE,,,SHE,Shepherd,#000000,,,2974,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2974.png']",Rams,Shepherd
533,STC,,,STC,Shepherd Tech,#000000,,,3181,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3181.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3181.png']",Eagles,Shepherd Tech
534,SHI,,,SHI,Shippensburg,#000000,,,2559,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2559.png']",Raiders,Shippensburg
535,SH,,,SH,Siena Heights,#000000,,,2562,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2562.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2562.png']",Saints,Siena Heights
536,SIM,,,SIM,Simon Fraser,#000000,,,2829,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2829.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2829.png']",Clansmen,Simon Fraser
537,SIM,,Simpson,SIM,Simpson ,#000000,,,2564,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2564.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2564.png']",Storm,Simpson College
538,SRU,,,SRU,Slippery Rock,#000000,,,215,"['http://a.espncdn.com/i/teamlogos/ncaa/500/215.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/215.png']",The Rock,Slippery Rock
539,SMU,#ecdcb9,Southern Methodist,SMU,SMU,#E32F38,American Athletic,West,2567,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']",Mustangs,SMU
540,USA,,,USA,South Alabama,#003E7E,Sun Belt,,6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png']",Jaguars,South Alabama
541,SC,#000000,,SC,South Carolina,#670010,SEC,East,2579,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",Gamecocks,South Carolina
542,SCST,#104897,,SCST,S Carolina St,#7d1315,,,2569,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2569.png']",Bulldogs,South Carolina State
543,SDAK,#f0f0f0,,SDAK,South Dakota,#CD1241,,,233,"['http://a.espncdn.com/i/teamlogos/ncaa/500/233.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/233.png']",Coyotes,South Dakota
544,SDA,,,SDA,SD Mines,#000000,,,613,"['http://a.espncdn.com/i/teamlogos/ncaa/500/613.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/613.png']",Hardrockers,South Dakota Mines
545,SDSU,#c33139,,SDSU,South Dakota St,#005DAB,,,2571,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2571.png']",Jackrabbits,South Dakota State
546,SELA,#dca008,,SELA,SE Louisiana,#007550,,,2545,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2545.png']",Lions,Southeastern Louisiana
547,SEOS,,,SEOS,SEOkla St,#000000,,,199,"['http://a.espncdn.com/i/teamlogos/ncaa/500/199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/199.png']",Savage Storm,Southeastern Oklahoma
