,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
334,ULM,#b18445,La.-Monroe,ULM,UL Monroe,#231F20,Sun Belt,,2433,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png']",Warhawks,Louisiana Monroe
335,LT,#d3313a,,LT,LA Tech,#002d65,Conference USA,West,2348,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png']",Bulldogs,Louisiana Tech
336,LOU,#cccccc,,LOU,Louisville,#ad000a,ACC,Atlantic,97,"['http://a.espncdn.com/i/teamlogos/ncaa/500/97.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png']",Cardinals,Louisville
337,LSU,#fdd023,Louisiana State,LSU,LSU,#22005c,SEC,West,99,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",Tigers,LSU
338,LUT,,,LUT,Luther,#000000,,,67,"['http://a.espncdn.com/i/teamlogos/ncaa/500/67.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/67.png']",Norse,Luther
339,LYC,,,LYC,Lycoming,#000000,,,2354,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2354.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2354.png']",Warriors,Lycoming
340,MAC,,,MAC,Macalester,#000000,,,2359,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2359.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2359.png']",Scots,Macalester
341,MAC,,,MAC,MacMurray ,#000000,,,273,"['http://a.espncdn.com/i/teamlogos/ncaa/500/273.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/273.png']",Highlanders,MacMurray College
342,MAINE,,,MAINE,Maine,#127dbe,,,311,"['http://a.espncdn.com/i/teamlogos/ncaa/500/311.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/311.png']",Black Bears,Maine
343,MAI,,,MAI,Maine Maritime,#000000,,,274,"['http://a.espncdn.com/i/teamlogos/ncaa/500/274.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/274.png']",Mariners,Maine Maritime
344,MAL,,,MAL,Malone,#000000,,,556,"['http://a.espncdn.com/i/teamlogos/ncaa/500/556.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/556.png']",Pioneers,Malone
345,MAN,,,MAN,Manchester,#000000,,,2362,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2362.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2362.png']",Spartans,Manchester
346,MAN,,,MAN,Manitoba,#000000,,,2770,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2770.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2770.png']",Bisons,Manitoba
347,MAN,,,MAN,Mansfield,#000000,,,2365,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2365.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2365.png']",Mountaineers,Mansfield
348,MAR,,,MAR,Maranatha Baptist ,#000000,,,421,"['http://a.espncdn.com/i/teamlogos/ncaa/500/421.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/421.png']",Crusaders,Maranatha Baptist College
349,MAR,,,MAR,Marian,#000000,,,2366,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2366.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2366.png']",Knights,Marian
350,MAR,,,MAR,Marietta,#000000,,,317,"['http://a.espncdn.com/i/teamlogos/ncaa/500/317.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/317.png']",Pioneers,Marietta
351,MRST,#f0f0f0,,MRST,Marist,#e53730,,,2368,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2368.png']",Red Foxes,Marist
