alt_color,color,id,logos,school,Latitude,Longitude
#c5960c,#001538,2229,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png']",Florida International,25.7525014,-80.3778912
#ceb888,#782F40,52,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",Florida State,30.4381692,-84.3044032
#231f20,#c41230,278,"['http://a.espncdn.com/i/teamlogos/ncaa/500/278.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png']",Fresno State,36.8143527,-119.7580092
#000000,#CC0000,61,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",Georgia,33.9498197,-83.3733813
#f0f0f0,#003775,290,"['http://a.espncdn.com/i/teamlogos/ncaa/500/290.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png']",Georgia Southern,32.4122471,-81.7849296
#ebebeb,#1e539a,2247,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",Georgia State,33.735278,-84.389444
#002c56,#00223e,59,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",Georgia Tech,33.7724449,-84.3928054
#ffffff,#003420,62,"['http://a.espncdn.com/i/teamlogos/ncaa/500/62.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png']",Hawai'i,21.3728014,-157.9299645
#231f20,#C90822,248,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']",Houston,29.7219885,-95.3491623
#fa6300,#f77329,356,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",Illinois,40.0993268,-88.2359569
#eeedeb,#7D110C,84,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",Indiana,39.1808959,-86.5256217
#ffe100,#000000,2294,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",Iowa,41.6586045,-91.5510829
#830b2c,#660015,66,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",Iowa State,42.0139977,-93.6357716
#e8000d,#0022B4,2305,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",Kansas,38.9629418,-95.2463686
#e7d2ad,#633194,2306,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",Kansas State,39.2020096,-96.5938395
#f0b510,#002445,2309,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png']",Kent State,41.1390935,-81.31346
#ffffff,#005DAA,96,"['http://a.espncdn.com/i/teamlogos/ncaa/500/96.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png']",Kentucky,38.0220905,-84.5053408
#a61f21,#071740,2335,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2335.png']",Liberty,37.3544305,-79.1750239
,#ce2842,309,"['http://a.espncdn.com/i/teamlogos/ncaa/500/309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png']",Louisiana,30.2158434,-92.0417371
#b18445,#231F20,2433,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2433.png']",Louisiana Monroe,32.5308089,-92.0660602
#d3313a,#002d65,2348,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png']",Louisiana Tech,32.5321487,-92.6560019
#cccccc,#ad000a,97,"['http://a.espncdn.com/i/teamlogos/ncaa/500/97.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png']",Louisville,38.2057621,-85.7588141
#fdd023,#22005c,99,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",LSU,30.412035,-91.1838163
#be854c,#186329,276,"['http://a.espncdn.com/i/teamlogos/ncaa/500/276.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png']",Marshall,38.4247042,-82.4214412
#ffcd00,#D5002B,120,"['http://a.espncdn.com/i/teamlogos/ncaa/500/120.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/120.png']",Maryland,38.9903332,-76.9473792
#231f20,#002447,235,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']",Memphis,35.1209429,-89.977147
#f0f0f0,#004325,2390,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']",Miami,25.9579665,-80.2388604
#f0f0f0,#a4000c,193,"['http://a.espncdn.com/i/teamlogos/ncaa/500/193.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/193.png']",Miami (OH),39.5197009,-84.7330255
#ffcb05,#00274c,130,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",Michigan,42.2658365,-83.7486956
#ffffff,#18453B,127,"['http://a.espncdn.com/i/teamlogos/ncaa/500/127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png']",Michigan State,42.7281474,-84.4848526
#c3c5c8,#0079C2,2393,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png']",Middle Tennessee,35.8511463,-86.3681649
#7a0019,#7F011B,135,"['http://a.espncdn.com/i/teamlogos/ncaa/500/135.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png']",Minnesota,44.976525,-93.2245462
#c8c8c8,#762123,344,"['http://a.espncdn.com/i/teamlogos/ncaa/500/344.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png']",Mississippi State,33.4563403,-88.7933652
#000000,#000000,142,"['http://a.espncdn.com/i/teamlogos/ncaa/500/142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png']",Missouri,38.9358491,-92.3332009
#b6a77c,#131630,2426,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2426.png']",Navy,38.9846985,-76.5076335
#231f20,#EF1216,152,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",NC State,35.8008001,-78.7195655
#f5f1e7,#F20017,158,"['http://a.espncdn.com/i/teamlogos/ncaa/500/158.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/158.png']",Nebraska,40.820682,-96.705594
#8e9295,#153E5F,2440,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2440.png']",Nevada,39.5469459,-119.8175435
#231f20,#000000,167,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']",New Mexico,35.0669479,-106.6283225
#000000,#891216,166,"['http://a.espncdn.com/i/teamlogos/ncaa/500/166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/166.png']",New Mexico State,32.2796202,-106.7411148
#13294b,#99bfe5,153,"['http://a.espncdn.com/i/teamlogos/ncaa/500/153.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/153.png']",North Carolina,35.9069294,-79.0478889
#cc0000,#F1122C,2459,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2459.png']",Northern Illinois,41.9339586,-88.7778357
#000000,#00853D,249,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']",North Texas,33.203899,-97.159245
#d6cac1,#372286,77,"['http://a.espncdn.com/i/teamlogos/ncaa/500/77.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/77.png']",Northwestern,42.0653994,-87.6924751
#ae9142,#00122b,87,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",Notre Dame,41.698378,-86.2339425
#e4bb85,#295A29,195,"['http://a.espncdn.com/i/teamlogos/ncaa/500/195.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/195.png']",Ohio,39.3212794,-82.1034315
#666666,#DE3121,194,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",Ohio State,40.0016447,-83.0197266
#cccccc,#7b0000,201,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",Oklahoma,35.2058537,-97.4423145
#ff9900,#FF6500,197,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",Oklahoma State,36.125673,-97.066513
#a1d2f1,#00507d,295,"['http://a.espncdn.com/i/teamlogos/ncaa/500/295.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/295.png']",Old Dominion,36.8889533,-76.3049175
#00205b,#001148,145,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",Ole Miss,34.3619837,-89.5342076
#fee123,#044520,2483,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",Oregon,44.0582712,-123.0684883
